Test loss: tensor(0.5025, device='cuda:0')accuary:0.028125
Test loss: tensor(0.5065, device='cuda:0')accuary:0.026875
Test loss: tensor(0.5002, device='cuda:0')accuary:0.023125
Test loss: tensor(0.4967, device='cuda:0')accuary:0.025625
Test loss: tensor(0.5100, device='cuda:0')accuary:0.019375
Test loss: tensor(0.5100, device='cuda:0')accuary:0.025
Test loss: tensor(0.4969, device='cuda:0')accuary:0.02875
Test loss: tensor(0.5044, device='cuda:0')accuary:0.028125
Test loss: tensor(0.4922, device='cuda:0')accuary:0.0325
Test loss: tensor(0.4889, device='cuda:0')accuary:0.033125
Test loss: tensor(0.4885, device='cuda:0')accuary:0.034375
Test loss: tensor(0.4853, device='cuda:0')accuary:0.035625
Test loss: tensor(0.4776, device='cuda:0')accuary:0.035625
Test loss: tensor(0.4881, device='cuda:0')accuary:0.034375
Test loss: tensor(0.4730, device='cuda:0')accuary:0.04
Test loss: tensor(0.4792, device='cuda:0')accuary:0.035
Test loss: tensor(0.4796, device='cuda:0')accuary:0.038125
Test loss: tensor(0.4948, device='cuda:0')accuary:0.035
Test loss: tensor(0.4771, device='cuda:0')accuary:0.035
Test loss: tensor(0.4864, device='cuda:0')accuary:0.0325
Test loss: tensor(0.4731, device='cuda:0')accuary:0.04
Test loss: tensor(0.4766, device='cuda:0')accuary:0.034375
Test loss: tensor(0.4673, device='cuda:0')accuary:0.040625
Test loss: tensor(0.4764, device='cuda:0')accuary:0.036875
Test loss: tensor(0.4703, device='cuda:0')accuary:0.039375
Test loss: tensor(0.4700, device='cuda:0')accuary:0.04375
Test loss: tensor(0.4691, device='cuda:0')accuary:0.04375
Test loss: tensor(0.4596, device='cuda:0')accuary:0.05
Test loss: tensor(0.4678, device='cuda:0')accuary:0.0425
Test loss: tensor(0.4607, device='cuda:0')accuary:0.043125
Test loss: tensor(0.4588, device='cuda:0')accuary:0.05625
Test loss: tensor(0.4611, device='cuda:0')accuary:0.044375
Test loss: tensor(0.4591, device='cuda:0')accuary:0.055625
Test loss: tensor(0.4584, device='cuda:0')accuary:0.0475
Test loss: tensor(0.4554, device='cuda:0')accuary:0.051875
Test loss: tensor(0.4508, device='cuda:0')accuary:0.06125
Test loss: tensor(0.4715, device='cuda:0')accuary:0.038125
Test loss: tensor(0.4564, device='cuda:0')accuary:0.05
Test loss: tensor(0.4572, device='cuda:0')accuary:0.04875
Test loss: tensor(0.4517, device='cuda:0')accuary:0.060625
Test loss: tensor(0.4479, device='cuda:0')accuary:0.063125
Test loss: tensor(0.4553, device='cuda:0')accuary:0.04625
Test loss: tensor(0.4453, device='cuda:0')accuary:0.065
Test loss: tensor(0.4501, device='cuda:0')accuary:0.058125
Test loss: tensor(0.4439, device='cuda:0')accuary:0.05875
Test loss: tensor(0.5749, device='cuda:0')accuary:0.0
Test loss: tensor(0.5862, device='cuda:0')accuary:0.0
Test loss: tensor(0.5432, device='cuda:0')accuary:0.0
Test loss: tensor(0.5432, device='cuda:0')accuary:0.0
Test loss: tensor(0.6171, device='cuda:0')accuary:0.0025
Test loss: tensor(0.5409, device='cuda:0')accuary:0.0025
Test loss: tensor(0.5618, device='cuda:0')accuary:0.00375
Test loss: tensor(0.5521, device='cuda:0')accuary:0.004375
Test loss: tensor(0.5542, device='cuda:0')accuary:0.00375
Test loss: tensor(0.5466, device='cuda:0')accuary:0.0075
Test loss: tensor(0.5668, device='cuda:0')accuary:0.005625
Test loss: tensor(0.5503, device='cuda:0')accuary:0.0025
Test loss: tensor(0.5607, device='cuda:0')accuary:0.00625
Test loss: tensor(0.5562, device='cuda:0')accuary:0.00625
Test loss: tensor(0.5514, device='cuda:0')accuary:0.00625
Test loss: tensor(0.5504, device='cuda:0')accuary:0.00625
Test loss: tensor(0.5458, device='cuda:0')accuary:0.006875
Test loss: tensor(0.5613, device='cuda:0')accuary:0.008125
Test loss: tensor(0.5489, device='cuda:0')accuary:0.0075
Test loss: tensor(0.5508, device='cuda:0')accuary:0.009375
Test loss: tensor(0.5412, device='cuda:0')accuary:0.006875
Test loss: tensor(0.5462, device='cuda:0')accuary:0.010625
Test loss: tensor(0.5512, device='cuda:0')accuary:0.00625
Test loss: tensor(0.5438, device='cuda:0')accuary:0.01125
Test loss: tensor(0.5510, device='cuda:0')accuary:0.010625
Test loss: tensor(0.5504, device='cuda:0')accuary:0.01125
Test loss: tensor(0.5483, device='cuda:0')accuary:0.00875
Test loss: tensor(0.5534, device='cuda:0')accuary:0.00875
Test loss: tensor(0.5444, device='cuda:0')accuary:0.013125
Test loss: tensor(1.1492, device='cuda:0')accuary:0.0
Test loss: tensor(1.1012, device='cuda:0')accuary:0.0
Test loss: tensor(1.2281, device='cuda:0')accuary:0.00875
Test loss: tensor(1.2709, device='cuda:0')accuary:0.01375
Test loss: tensor(1.1953, device='cuda:0')accuary:0.0175
Test loss: tensor(1.0951, device='cuda:0')accuary:0.02375
Test loss: tensor(1.1503, device='cuda:0')accuary:0.0
Test loss: tensor(1.5230, device='cuda:0')accuary:0.0
Test loss: tensor(1.1075, device='cuda:0')accuary:0.015
Test loss: tensor(1.1372, device='cuda:0')accuary:0.01375
Test loss: tensor(1.1106, device='cuda:0')accuary:0.01375
Test loss: tensor(1.8548, device='cuda:0')accuary:0.0125
Test loss: tensor(1.6801, device='cuda:0')accuary:0.015
Test loss: tensor(1.7151, device='cuda:0')accuary:0.0175
Test loss: tensor(1.1507, device='cuda:0')accuary:0.01375
Test loss: tensor(1.1637, device='cuda:0')accuary:0.0175
Test loss: tensor(1.0969, device='cuda:0')accuary:0.02125
Test loss: tensor(1.2314, device='cuda:0')accuary:0.01875
Test loss: tensor(1.0597, device='cuda:0')accuary:0.0175
Test loss: tensor(1.0851, device='cuda:0')accuary:0.01875
Test loss: tensor(1.1162, device='cuda:0')accuary:0.01875
Test loss: tensor(1.2018, device='cuda:0')accuary:0.015
Test loss: tensor(1.1018, device='cuda:0')accuary:0.015
Test loss: tensor(1.1077, device='cuda:0')accuary:0.01375
Test loss: tensor(1.2492, device='cuda:0')accuary:0.0175
Test loss: tensor(1.0618, device='cuda:0')accuary:0.02125
Test loss: tensor(1.2175, device='cuda:0')accuary:0.0125
Test loss: tensor(1.0252, device='cuda:0')accuary:0.02375
Test loss: tensor(1.0442, device='cuda:0')accuary:0.02
Test loss: tensor(1.0098, device='cuda:0')accuary:0.02625
Test loss: tensor(0.8694, device='cuda:0')accuary:0.0
Test loss: tensor(0.8486, device='cuda:0')accuary:0.0
Test loss: tensor(0.8053, device='cuda:0')accuary:0.0
Test loss: tensor(0.7875, device='cuda:0')accuary:0.0
Test loss: tensor(0.7294, device='cuda:0')accuary:0.00125
Test loss: tensor(0.7168, device='cuda:0')accuary:0.00125
Test loss: tensor(0.6830, device='cuda:0')accuary:0.0025
Test loss: tensor(0.6704, device='cuda:0')accuary:0.0025
Test loss: tensor(0.6624, device='cuda:0')accuary:0.00125
Test loss: tensor(0.6197, device='cuda:0')accuary:0.0025
Test loss: tensor(0.6349, device='cuda:0')accuary:0.00375
Test loss: tensor(0.6062, device='cuda:0')accuary:0.0025
Test loss: tensor(0.5746, device='cuda:0')accuary:0.0025
Test loss: tensor(0.5703, device='cuda:0')accuary:0.0
Test loss: tensor(0.5455, device='cuda:0')accuary:0.0025
Test loss: tensor(0.5561, device='cuda:0')accuary:0.0025
Test loss: tensor(1.2834, device='cuda:0')accuary:0.0
Test loss: tensor(1.3061, device='cuda:0')accuary:0.0
Test loss: tensor(1.0943, device='cuda:0')accuary:0.015
Test loss: tensor(1.1465, device='cuda:0')accuary:0.01125
Test loss: tensor(1.0770, device='cuda:0')accuary:0.01875
Test loss: tensor(1.1354, device='cuda:0')accuary:0.0225
Test loss: tensor(1.1382, device='cuda:0')accuary:0.02375
Test loss: tensor(1.1127, device='cuda:0')accuary:0.02
Test loss: tensor(1.2021, device='cuda:0')accuary:0.02125
Test loss: tensor(1.1283, device='cuda:0')accuary:0.01625
Test loss: tensor(1.5597, device='cuda:0')accuary:0.00875
Test loss: tensor(1.1016, device='cuda:0')accuary:0.02
Test loss: tensor(1.0865, device='cuda:0')accuary:0.0175
Test loss: tensor(1.0961, device='cuda:0')accuary:0.01625
Test loss: tensor(1.1000, device='cuda:0')accuary:0.01875
Test loss: tensor(1.0537, device='cuda:0')accuary:0.01375
Test loss: tensor(1.0938, device='cuda:0')accuary:0.01625
Test loss: tensor(1.0580, device='cuda:0')accuary:0.02
Test loss: tensor(1.0645, device='cuda:0')accuary:0.015
Test loss: tensor(1.0157, device='cuda:0')accuary:0.01625
Test loss: tensor(1.0423, device='cuda:0')accuary:0.02
